fecha,confirmados,ia,hospitalizados,uci,recuperados,fallecidos
2020-01-31,1,,,,,
2020-02-01,1,,,,,
2020-02-02,1,,,,,
2020-02-03,1,,,,,
2020-02-04,1,,,,,
2020-02-05,1,,,,,
2020-02-06,1,,,,,
2020-02-07,1,,,,,
2020-02-08,1,,,,,
2020-02-09,2,,,,,
2020-02-10,2,,,,,
2020-02-11,2,,,,,
2020-02-12,2,,,,,
2020-02-13,2,,,,,
2020-02-14,2,,,,,
2020-02-15,2,,,,,
2020-02-16,2,,,,,
2020-02-17,2,,,,,
2020-02-18,2,,,,,
2020-02-19,2,,,,,
2020-02-20,2,,,,,
2020-02-21,2,,,,,
2020-02-22,2,,,,,
2020-02-23,2,,,,,
2020-02-24,2,,,,,
2020-02-25,3,,,,,
2020-02-26,10,,,,,
2020-02-27,16,0.04,,,,
2020-02-28,32,0.1,,,,
2020-02-29,50,,,,,
2020-03-01,73,,,,,
2020-03-02,114,0.2,,,,
2020-03-03,150,0.3,,,,
2020-03-04,198,0.38,,7,,1
2020-03-05,237,0.51,,9,,3
2020-03-06,365,0.78,,11,,5
2020-03-07,430,,,,,8
2020-03-08,589,,,,,17
2020-03-09,999,2.14,,68,23,17
2020-03-10,1622,3.47,,100,135,35
2020-03-11,2128,4.55,,142,183,47
2020-03-12,2950,6.29,,190,189,84
2020-03-13,4209,8.99,,272,193,120
2020-03-14,5753,12.23,,293,,136
2020-03-15,7753,16.52,,382,,288
2020-03-16,9191,19.30,,4332,530,309
2020-03-17,11178,23.45,,563,1028,491
2020-03-18,13716,28.75,,774,1081,598
2020-03-19,17147,35.96,,939,1107,767
2020-03-20,19980,41.71,,1141,1585,1002
2020-03-21,24926,52.18,13282,1612,2125,1326
2020-03-22,28572,59.64,15554,1785,2575,1720
2020-03-23,33089,68.24,18374,2355,3355,2182
2020-03-24,39673,80.91,22762,2636,3794,2696
2020-03-25,47610,96.56,26960,3166,5367,3434
2020-03-26,56188,113.03,31912,3679,7015,4089
2020-03-27,64059,127.27,36293,4165,9357,4858
2020-03-28,72248,141.09,40630,4575,12285,5690
2020-03-29,78797,151.04,43397,4907,14709,6528
2020-03-30,85195,161.62,46617,5231,16780,7340
2020-03-31,94417,177.01,49243,5607,19259,8189
2020-04-01,102136,188.02,51418,5872,22647,9053
2020-04-02,110238,197.96,54113,6092,26743,10003
2020-04-03,117710,207.82,56637,6416,30513,10935
2020-04-04,124736,212.24,57612,6532,34219,11744
2020-04-05,130759,217.30,58744,6861,38080,12418
2020-04-06,135032,216.78,59662,6931,40437,13055
2020-04-07,140510,214.43,63093,7069,43208,13798
2020-04-08,146690,210.69,,,48021,14555
2020-04-09,152446,204.69,,,52165,15238
2020-04-10,157022,197.68,,,55668,15843
2020-04-11,161852,190.54,,,59109,16353
2020-04-12,166019,185.48,,,62391,16972
2020-04-13,169496,179.26,,,64727,17489
2020-04-14,172541,166.13,,,67504,18056
2020-04-15,177633,160.54,,,70853,18579
2020-04-16,182816,154.34,,,74797,19130
2020-04-17,188068,149.61,,,72963,19478
2020-04-18,191726,149.61,,,74662,20043
2020-04-19,195944,138.61,,,77357,20453
2020-04-20,200210,135.65,,,80587,20852
2020-04-21,204178,135.39,,,82514,21282
2020-04-22,208389,131.20,,,85915,21717
2020-04-23,213024,128.82,,,89250,22157
